                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    116,                0.99619,                0.59669,                 1.1259,                0.99751,                      1,                  0.995,                0.75073,                0.96381,                0.40516,                 1.1409,              0.0012907,              0.0012907,              0.0012907
                    117,                0.99663,                0.57124,                 1.1215,                0.99866,                      1,                  0.995,                0.73852,                0.96979,                0.41549,                 1.1472,              0.0012874,              0.0012874,              0.0012874
                    118,                   1.03,                0.60563,                 1.1526,                0.99878,                      1,                  0.995,                0.77983,                0.85977,                0.36862,                  1.085,              0.0012841,              0.0012841,              0.0012841
                    119,                0.99435,                0.54449,                 1.1381,                0.99884,                      1,                  0.995,                0.76685,                0.88024,                0.37952,                  1.099,              0.0012808,              0.0012808,              0.0012808
                    120,                0.99894,                0.55667,                 1.1391,                0.99877,                      1,                  0.995,                0.75998,                0.90992,                0.39229,                 1.1085,              0.0012775,              0.0012775,              0.0012775
                    121,                0.99248,                0.54939,                 1.1143,                0.99866,                0.99418,                  0.995,                0.77769,                0.85599,                0.43533,                 1.0893,              0.0012742,              0.0012742,              0.0012742
                    122,                 1.0356,                0.61317,                 1.1496,                0.98379,                 0.9846,                0.99408,                0.76714,                0.89073,                0.41044,                 1.1035,              0.0012709,              0.0012709,              0.0012709
                    123,                0.98066,                0.56808,                 1.1124,                0.99783,                      1,                  0.995,                0.78534,                0.84722,                0.36664,                 1.0836,              0.0012676,              0.0012676,              0.0012676
                    124,                0.95965,                0.55979,                 1.1242,                 0.9988,                      1,                  0.995,                0.76722,                0.87228,                0.36783,                 1.0986,              0.0012643,              0.0012643,              0.0012643
                    125,                 0.9809,                0.53553,                  1.093,                  0.999,                      1,                  0.995,                0.76844,                0.86187,                0.36933,                 1.0902,               0.001261,               0.001261,               0.001261
                    126,                 0.9645,                0.55945,                 1.1055,                0.99866,                      1,                  0.995,                0.78405,                0.82394,                0.36287,                 1.0729,              0.0012577,              0.0012577,              0.0012577
                    127,                0.99521,                0.59878,                  1.141,                0.99859,                      1,                  0.995,                0.77437,                0.86314,                0.37952,                 1.0938,              0.0012544,              0.0012544,              0.0012544
                    128,                0.98096,                0.56068,                 1.1045,                0.99836,                      1,                  0.995,                0.77048,                0.89013,                0.37404,                  1.108,              0.0012511,              0.0012511,              0.0012511
                    129,                 1.0105,                0.61451,                 1.1371,                0.99744,                      1,                  0.995,                0.76398,                 0.8846,                0.36818,                 1.0985,              0.0012478,              0.0012478,              0.0012478
                    130,                 0.9711,                 0.5674,                 1.0914,                0.99726,                      1,                  0.995,                 0.7446,                0.97214,                0.40068,                 1.1364,              0.0012445,              0.0012445,              0.0012445
                    131,                 1.0411,                0.55598,                  1.128,                0.99166,                0.99911,                0.99493,                0.76146,                0.90164,                0.41312,                 1.1064,              0.0012412,              0.0012412,              0.0012412
                    132,                0.97799,                0.55523,                 1.1257,                0.99635,                      1,                  0.995,                0.77384,                0.85382,                0.37843,                 1.0868,              0.0012379,              0.0012379,              0.0012379
                    133,                0.98821,                0.58057,                 1.1366,                0.99717,                      1,                  0.995,                0.77676,                0.83742,                0.37295,                 1.0831,              0.0012346,              0.0012346,              0.0012346
                    134,                 1.0084,                0.59243,                  1.163,                0.99789,                      1,                  0.995,                0.77377,                0.84901,                0.38049,                 1.0932,              0.0012313,              0.0012313,              0.0012313
                    135,                 1.0184,                0.55906,                 1.1581,                0.99798,                      1,                  0.995,                0.78888,                0.84763,                0.37783,                 1.0869,               0.001228,               0.001228,               0.001228
                    136,                0.98731,                0.57792,                 1.1475,                0.99871,                      1,                  0.995,                0.77828,                0.86534,                0.38384,                 1.0892,              0.0012247,              0.0012247,              0.0012247
                    137,                0.99502,                0.55705,                 1.1281,                0.99894,                      1,                  0.995,                0.77454,                0.87008,                 0.3726,                  1.095,              0.0012214,              0.0012214,              0.0012214
                    138,                0.97591,                0.55695,                 1.1169,                0.99901,                      1,                  0.995,                0.76939,                0.87455,                0.37362,                 1.1051,              0.0012181,              0.0012181,              0.0012181
                    139,                0.93711,                0.51575,                 1.0949,                0.99889,                      1,                  0.995,                0.77634,                0.85124,                0.36501,                 1.0945,              0.0012148,              0.0012148,              0.0012148
                    140,                 1.0445,                0.54209,                 1.1357,                0.99869,                      1,                  0.995,                0.75945,                 0.8774,                0.36688,                 1.1077,              0.0012115,              0.0012115,              0.0012115
                    141,                0.96171,                 0.5459,                 1.1203,                0.99875,                      1,                  0.995,                0.76573,                0.85149,                0.35576,                 1.0955,              0.0012082,              0.0012082,              0.0012082
                    142,                 1.0413,                 0.5932,                 1.1671,                 0.9987,                      1,                  0.995,                0.76193,                0.90578,                0.36497,                 1.1197,              0.0012049,              0.0012049,              0.0012049
